latitude_degree,latitude_minute,longitude_degree,longitude_minute,standard_length,total_length,weight,latitude,longitude,species,month,year
68.0,33.6,71.0,28.8,45,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,45,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,45,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,45,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,45,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,45,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,45,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,45,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,45,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,45,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,45,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,46,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,46,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,46,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,46,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,46,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,46,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,46,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,46,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,46,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,46,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,46,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,47,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
